	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/6/2011	 0.50	  $            173,659	 2481	  $            14,885	  	  
6/7/2011	 0.34	  $            188,544	 2693	  $            10,989	  	  
6/8/2011	 0.27	  $            199,534	 2850	  $              9,236	  	  
6/9/2011	 -0.03	  $            208,769	 2982	  $            (1,074)	  	  
6/10/2011	 -0.11	  $            207,695	 2967	  $            (3,917)	  	  
 	  	  $            203,779	  	  	  $        30,120	 17%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/13/2011	 0.01	  $            203,779	 2911	  $                  349	  	  
6/14/2011	 0.01	  $            204,128	 2916	  $                  350	  	  
6/15/2011	 0.61	  $            204,478	 2921	  $            21,383	  	  
6/16/2011	 0.24	  $            225,861	 3227	  $              9,293	  	  
6/17/2011	 -0.19	  $            235,153	 3359	  $            (7,659)	  	  
 	  	  $            227,494	  	  	  $        23,715	 12%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/20/2011	 -0.25	  $            227,494	 3250	  $            (9,750)	  	  
6/21/2011	 -0.25	  $            217,744	 3111	  $            (9,332)	  	  
6/22/2011	 -0.16	  $            208,412	 2977	  $            (5,716)	  	  
6/23/2011	 1.04	  $            202,696	 2896	  $            36,138	  	  
6/24/2011	 -0.21	  $            238,834	 3412	  $            (8,598)	  	  
 	  	  $            230,236	  	  	  $          2,742	 1%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/27/2011	 0.02	  $            230,236	 3289	  $                  789	  	  
6/28/2011	 0.17	  $            231,025	 3300	  $              6,733	  	  
6/29/2011	 -0.17	  $            237,758	 3397	  $            (6,929)	  	  
6/30/2011	 0.08	  $            230,829	 3298	  $              3,166	  	  
7/1/2011	  	  $            233,995	 3343	  $                       -	  	  
 	  	  $            233,995	  	  	  $          3,759	 2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/4/2011	  	  $            233,995	 3343	  $                       -	  	  
7/5/2011	 0.25	  $            233,995	 3343	  $            10,028	  	  
7/6/2011	 0.27	  $            244,023	 3486	  $            11,295	  	  
7/7/2011	 0.00	  $            255,318	 3647	  $                       -	  	  
7/8/2011	 0.55	  $            255,318	 3647	  $            24,073	  	  
 	  	  $            279,390	  	  	  $        45,396	 19%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/11/2011	 -0.16	  $            279,390	 3991	  $            (7,663)	  	  
7/12/2011	 -0.20	  $            271,727	 3882	  $            (9,316)	  	  
7/13/2011	 0.64	  $            262,411	 3749	  $            28,790	  	  
7/14/2011	 -0.22	  $            291,201	 4160	  $         (10,982)	  	  
7/15/2011	 0.33	  $            280,219	 4003	  $            15,852	  	  
 	  	  $            296,071	  	  	  $        16,681	 6%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/18/2011	 0.35	  $            296,071	 4230	  $            17,764	  	  
7/19/2011	 0.35	  $            313,835	 4483	  $            18,830	  	  
7/20/2011	 -0.28	  $            332,665	 4752	  $         (15,968)	  	  
7/21/2011	 -0.19	  $            316,697	 4524	  $         (10,315)	  	  
7/22/2011	 0.16	  $            306,382	 4377	  $              8,404	  	  
 	  	  $            314,786	  	  	  $        18,715	 6%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/25/2011	 -0.19	  $            314,786	 4497	  $         (10,253)	  	  
7/26/2011	 -0.01	  $            304,533	 4350	  $               (522)	  	  
7/27/2011	 -0.23	  $            304,011	 4343	  $         (11,987)	  	  
7/28/2011	 0.45	  $            292,024	 4172	  $            22,528	  	  
7/29/2011	 0.51	  $            314,552	 4494	  $            27,501	  	  
 	  	  $            342,052	  	  	  $        27,267	 9%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
8/1/2011	 -0.24	  $            342,052	 4886	  $         (14,073)	  	  
8/2/2011	 -0.16	  $            327,979	 4685	  $            (8,996)	  	  
8/3/2011	 0.89	  $            318,983	 4557	  $            48,668	  	  
8/4/2011	 -0.25	  $            367,651	 5252	  $         (15,756)	  	  
8/5/2011	 -0.43	  $            351,895	 5027	  $         (25,940)	  	  
 	  	  $            325,955	  	  	  $      (16,097)	 -5%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
8/8/2011	 1.80	  $            325,955	 4656	  $         100,580	  	  
8/9/2011	 -0.52	  $            426,535	 6093	  $         (38,023)	  	  
8/10/2011	 0.18	  $            388,513	 5550	  $            11,988	  	  
8/11/2011	 -0.13	  $            400,501	 5721	  $            (8,925)	  	  
8/12/2011	 0.12	  $            391,576	 5594	  $              8,055	  	  
 	  	  $            399,631	  	  	  $        73,676	 23%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
8/15/2011	 0.46	  $            399,631	 5709	  $            31,514	  	  
8/16/2011	 -0.27	  $            431,145	 6159	  $         (19,956)	  	  
8/17/2011	 -0.23	  $            411,189	 5874	  $         (16,213)	  	  
8/18/2011	 -0.17	  $            394,976	 5643	  $         (11,511)	  	  
8/19/2011	 0.95	  $            383,466	 5478	  $            62,450	  	  
 	  	  $            445,916	  	  	  $        46,285	 12%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
8/22/2011	 -0.20	  $            445,916	 6370	  $         (15,289)	  	  
8/23/2011	 -0.36	  $            430,627	 6152	  $         (26,576)	  	  
8/24/2011	 -0.29	  $            404,051	 5772	  $         (20,087)	  	  
8/25/2011	 -0.17	  $            383,964	 5485	  $         (11,190)	  	  
8/26/2011	 -0.17	  $            372,774	 5325	  $         (10,864)	  	  
 	  	  $            361,911	  	  	  $      (84,005)	 -19%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
8/29/2011	  	  $            361,911	 5170	  $                       -	  	  
8/30/2011	 0.28	  $            361,911	 5170	  $            17,372	  	  
8/31/2011	 -0.26	  $            379,282	 5418	  $         (16,905)	  	  
9/1/2011	 -0.13	  $            362,377	 5177	  $            (8,076)	  	  
9/2/2011	 -0.13	  $            354,301	 5061	  $            (7,896)	  	  
 	  	  $            346,405	  	  	  $      (15,505)	 -4%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
9/5/2011	 -0.52	  $            346,405	 4949	  $         (30,880)	  	  
9/6/2011	 -0.52	  $            315,526	 4508	  $         (28,127)	  	  
9/7/2011	 0.73	  $            287,399	 4106	  $            35,966	  	  
9/8/2011	 0.89	  $            323,365	 4619	  $            49,336	  	  
9/9/2011	  	  $            372,701	 5324	  $                       -	  	  
 	  	  $            372,701	  	  	  $        26,296	 8%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
9/12/2011	 -0.52	  $            372,701	 5324	  $         (33,224)	  	  
9/13/2011	 0.59	  $            339,478	 4850	  $            34,336	  	  
9/14/2011	 0.51	  $            373,813	 5340	  $            32,682	  	  
9/15/2011	 0.51	  $            406,495	 5807	  $            35,539	  	  
9/16/2011	 0.29	  $            442,035	 6315	  $            21,975	  	  
 	  	  $            464,010	  	  	  $        91,309	 24%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
9/19/2011	 0.71	  $            464,010	 6629	  $            56,477	  	  
9/20/2011	 -0.17	  $            520,487	 7436	  $         (15,168)	  	  
9/21/2011	 -0.26	  $            505,318	 7219	  $         (22,523)	  	  
9/22/2011	 -0.48	  $            482,795	 6897	  $         (39,727)	  	  
9/23/2011	 -0.03	  $            443,068	 6330	  $            (2,279)	  	  
 	  	  $            440,790	  	  	  $      (23,220)	 -5%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
9/26/2011	 0.83	  $            440,790	 6297	  $            62,718	  	  
9/27/2011	 0.47	  $            503,508	 7193	  $            40,568	  	  
9/28/2011	 -0.23	  $            544,076	 7773	  $         (21,452)	  	  
9/29/2011	 -0.33	  $            522,624	 7466	  $         (29,566)	  	  
9/30/2011	 0.77	  $            493,058	 7044	  $            65,084	  	  
 	  	  $            558,142	  	  	  $     117,352	 27%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/3/2011	 1.16	  $            558,142	 7973	  $         110,991	  	  
10/4/2011	 -0.52	  $            669,132	 9559	  $         (59,648)	  	  
10/5/2011	 -0.15	  $            609,484	 8707	  $         (15,672)	  	  
10/6/2011	 -0.36	  $            593,812	 8483	  $         (36,647)	  	  
10/7/2011	 -0.13	  $            557,165	 7959	  $         (12,417)	  	  
 	  	  $            544,748	  	  	  $      (13,394)	 -2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/10/2011	 0.91	  $            544,748	 7782	  $            84,981	  	  
10/11/2011	 0.17	  $            629,729	 8996	  $            18,352	  	  
10/12/2011	 -0.21	  $            648,081	 9258	  $         (23,331)	  	  
10/13/2011	 0.58	  $            624,750	 8925	  $            62,118	  	  
10/14/2011	 -0.24	  $            686,868	 9812	  $         (28,260)	  	  
 	  	  $            658,608	  	  	  $     113,860	 21%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/17/2011	 -0.25	  $            658,608	 9409	  $         (28,226)	  	  
10/18/2011	 0.76	  $            630,382	 9005	  $            82,130	  	  
10/19/2011	 -0.50	  $            712,512	 10179	  $         (61,072)	  	  
10/20/2011	 -0.06	  $            651,440	 9306	  $            (6,701)	  	  
10/21/2011	 0.06	  $            644,739	 9211	  $              6,632	  	  
 	  	  $            651,371	  	  	  $        (7,238)	 -1%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/24/2011	 0.09	  $            651,371	 9305	  $            10,050	  	  
10/25/2011	 -0.19	  $            661,420	 9449	  $         (21,543)	  	  
10/26/2011	 0.93	  $            639,877	 9141	  $         102,015	  	  
10/27/2011	 0.56	  $            741,892	 10598	  $            71,222	  	  
10/28/2011	 0.24	  $            813,113	 11616	  $            33,454	  	  
 	  	  $            846,567	  	  	  $     195,196	 30%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/31/2011	 -0.22	  $            846,567	 12094	  $         (31,928)	  	  
11/1/2011	 0.25	  $            814,639	 11638	  $            34,913	  	  
11/2/2011	 -0.50	  $            849,552	 12136	  $         (72,819)	  	  
11/3/2011	 0.81	  $            776,734	 11096	  $         107,855	  	  
11/4/2011	 0.38	  $            884,589	 12637	  $            57,625	  	  
 	  	  $            942,213	  	  	  $        95,646	 11%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/7/2011	 0.84	  $            942,213	 13460	  $         135,679	  	  
11/8/2011	 -0.14	  $        1,077,892	 15398	  $         (25,869)	  	  
11/9/2011	 -0.52	  $        1,052,023	 15029	  $         (93,780)	  	  
11/10/2011	 0.03	  $            958,242	 13689	  $              4,928	  	  
11/11/2011	  	  $            963,170	 13760	  $                       -	  	  
 	  	  $            963,170	  	  	  $        20,957	 2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/14/2011	 -0.32	  $            963,170	 13760	  $         (52,837)	  	  
11/15/2011	 -0.52	  $            910,334	 13005	  $         (81,150)	  	  
11/16/2011	 -0.21	  $            829,184	 11845	  $         (29,851)	  	  
11/17/2011	 -0.17	  $            799,333	 11419	  $         (23,295)	  	  
11/18/2011	 -0.49	  $            776,038	 11086	  $         (65,187)	  	  
 	  	  $            710,851	  	  	  $   (252,319)	 -26%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/21/2011	 0.43	  $            710,851	 10155	  $            52,400	  	  
11/22/2011	 0.45	  $            763,251	 10904	  $            58,879	  	  
11/23/2011	 -0.17	  $            822,131	 11745	  $         (23,959)	  	  
11/24/2011	  	  $            798,171	 11402	  $                       -	  	  
11/25/2011	 0.65	  $            798,171	 11402	  $            88,939	  	  
 	  	  $            887,110	  	  	  $     176,259	 25%
 	 	 	 	 	 	 
 	  	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/28/2011	 -0.04	  $            887,110	 12673	  $            (6,083)	  	  
11/29/2011	 0.31	  $            881,027	 12586	  $            46,820	  	  
11/30/2011	 -0.15	  $            927,848	 13255	  $         (23,859)	  	  
12/1/2011	 0.35	  $            903,989	 12914	  $            54,239	  	  
12/2/2011	 -0.13	  $            958,228	 13689	  $         (21,355)	  	  
 	  	  $            936,873	  	  	  $        49,763	 6%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/5/2011	 -0.24	  $            936,873	 13384	  $         (38,546)	  	  
12/6/2011	 -0.12	  $            898,328	 12833	  $         (18,480)	  	  
12/7/2011	 0.36	  $            879,848	 12569	  $            54,299	  	  
12/8/2011	 -0.13	  $            934,147	 13345	  $         (20,818)	  	  
12/9/2011	 0.13	  $            913,329	 13048	  $            20,354	  	  
 	  	  $            933,683	  	  	  $        (3,190)	 0%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/12/2011	 0.18	  $            933,683	 13338	  $            28,811	  	  
12/13/2011	 -0.12	  $            962,494	 13750	  $         (19,800)	  	  
12/14/2011	 -0.13	  $            942,694	 13467	  $         (21,009)	  	  
12/15/2011	 0.06	  $            921,685	 13167	  $              9,480	  	  
12/16/2011	 0.55	  $            931,165	 13302	  $            87,796	  	  
 	  	  $        1,018,961	  	  	  $        85,278	 9%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/19/2011	 -0.13	  $        1,018,961	 14557	  $         (22,708)	  	  
12/20/2011	 -0.21	  $            996,253	 14232	  $         (35,865)	  	  
12/21/2011	 -0.13	  $            960,388	 13720	  $         (21,403)	  	  
12/22/2011	 0.02	  $            938,985	 13414	  $              3,219	  	  
12/23/2011	 0.38	  $            942,204	 13460	  $            61,378	  	  
 	  	  $        1,003,582	  	  	  $      (15,379)	 -2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/26/2011	  	  $        1,003,582	 14337	  $                       -	  	  
12/27/2011	 -0.12	  $        1,003,582	 14337	  $         (20,645)	  	  
12/28/2011	 -0.21	  $            982,937	 14042	  $         (35,386)	  	  
12/29/2011	 0.31	  $            947,551	 13536	  $            50,356	  	  
12/30/2011	 -0.18	  $            997,907	 14256	  $         (30,793)	  	  
 	  	  $            967,114	  	  	  $      (36,468)	 -4%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/2/2012	  	  $            967,114	 13816	  $                       -	  	  
1/3/2012	 -0.20	  $            967,114	 13816	  $         (33,158)	  	  
1/4/2012	 0.34	  $            933,956	 13342	  $            54,436	  	  
1/5/2012	 0.57	  $            988,392	 14120	  $            96,580	  	  
1/6/2012	 0.11	  $        1,084,972	 15500	  $            20,459	  	  
 	  	  $        1,105,432	  	  	  $     138,318	 14%
 	 	 	 	 	 	 
 	 0.14	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/9/2012	 0.14	  $        1,105,432	 15792	  $            26,530	  	  
1/10/2012	 -0.19	  $        1,131,962	 16171	  $         (36,870)	  	  
1/11/2012	 0.11	  $        1,095,092	 15644	  $            20,650	  	  
1/12/2012	 0.31	  $        1,115,743	 15939	  $            59,294	  	  
1/13/2012	 0.26	  $        1,175,037	 16786	  $            52,373	  	  
 	  	  $        1,227,410	  	  	  $     121,978	 11%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/16/2012	  	  $        1,227,410	 17534	  $                       -	  	  
1/17/2012	 -0.15	  $        1,227,410	 17534	  $         (31,562)	  	  
1/18/2012	 0.11	  $        1,195,848	 17084	  $            22,550	  	  
1/19/2012	 -0.13	  $        1,218,398	 17406	  $         (27,153)	  	  
1/20/2012	 0.14	  $        1,191,245	 17018	  $            28,590	  	  
 	  	  $        1,219,835	  	  	  $        (7,575)	 -1%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/23/2012	 -0.20	  $        1,219,835	 17426	  $         (41,823)	  	  
1/24/2012	 0.00	  $        1,178,012	 16829	  $                       -	  	  
1/25/2012	 0.39	  $        1,178,012	 16829	  $            78,759	  	  
1/26/2012	 -0.21	  $        1,256,771	 17954	  $         (45,244)	  	  
1/27/2012	 0.10	  $        1,211,527	 17308	  $            20,769	  	  
 	  	  $        1,232,296	  	  	  $        12,461	 1%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/30/2012	 0.20	  $        1,232,296	 17604	  $            42,250	  	  
1/31/2012	 -0.20	  $        1,274,546	 18208	  $         (43,699)	  	  
2/1/2012	 0.13	  $        1,230,847	 17584	  $            27,430	  	  
2/2/2012	 -0.21	  $        1,258,278	 17975	  $         (45,298)	  	  
2/3/2012	 -0.02	  $        1,212,980	 17328	  $            (4,159)	  	  
 	  	  $        1,208,821	  	  	  $      (23,475)	 -2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
2/6/2012	 0.16	  $        1,208,821	 17269	  $            33,156	  	  
2/7/2012	 0.00	  $        1,241,977	 17743	  $                       -	  	  
2/8/2012	 -0.12	  $        1,241,977	 17743	  $         (25,549)	  	  
2/9/2012	 0.24	  $        1,216,428	 17378	  $            50,047	  	  
2/10/2012	 0.00	  $        1,266,475	 18093	  $                       -	  	  
 	  	  $        1,266,475	  	  	  $        57,654	 5%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
2/13/2012	 0.19	  $        1,266,475	 18093	  $            41,251	  	  
2/14/2012	 0.33	  $        1,307,726	 18682	  $            73,980	  	  
2/15/2012	 -0.26	  $        1,381,706	 19739	  $         (61,585)	  	  
2/16/2012	 0.86	  $        1,320,121	 18859	  $         194,624	  	  
2/17/2012	 0.18	  $        1,514,745	 21639	  $            46,741	  	  
 	  	  $        1,561,486	  	  	  $     295,011	 23%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
2/20/2012	  	  $        1,561,486	 22307	  $                       -	  	  
2/21/2012	 -0.14	  $        1,561,486	 22307	  $         (37,476)	  	  
2/22/2012	 -0.30	  $        1,524,010	 21772	  $         (78,378)	  	  
2/23/2012	 -0.10	  $        1,445,632	 20652	  $         (24,782)	  	  
2/24/2012	 0.04	  $        1,420,850	 20298	  $              9,743	  	  
 	  	  $        1,430,593	  	  	  $   (130,893)	 -8%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
2/27/2012	 -0.05	  $        1,430,593	 20437	  $         (12,262)	  	  
2/28/2012	 -0.18	  $        1,418,331	 20262	  $         (43,766)	  	  
2/29/2012	 -0.34	  $        1,374,565	 19637	  $         (80,118)	  	  
3/1/2012	 0.32	  $        1,294,448	 18492	  $            71,010	  	  
3/2/2012	 0.03	  $        1,365,457	 19507	  $              7,022	  	  
 	  	  $        1,372,480	  	  	  $      (58,113)	 -4%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/5/2012	 -0.18	  $        1,372,480	 19607	  $         (42,351)	  	  
3/6/2012	 0.02	  $        1,330,129	 19002	  $              4,560	  	  
3/7/2012	 -0.04	  $        1,334,689	 19067	  $            (9,152)	  	  
3/8/2012	 -0.19	  $        1,325,537	 18936	  $         (43,175)	  	  
3/9/2012	 0.03	  $        1,282,363	 18319	  $              6,595	  	  
 	  	  $        1,288,958	  	  	  $      (83,522)	 -6%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/12/2012	 0.20	  $        1,288,958	 18414	  $            44,193	  	  
3/13/2012	 0.50	  $        1,333,150	 19045	  $         114,270	  	  
3/14/2012	 -0.11	  $        1,447,420	 20677	  $         (27,294)	  	  
3/15/2012	 -0.01	  $        1,420,126	 20288	  $            (2,435)	  	  
3/16/2012	 0.13	  $        1,417,692	 20253	  $            31,594	  	  
 	  	  $        1,449,286	  	  	  $     160,328	 12%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/19/2012	 -0.35	  $        1,449,286	 20704	  $         (86,957)	  	  
3/20/2012	 0.45	  $        1,362,329	 19462	  $         105,094	  	  
3/21/2012	 -0.01	  $        1,467,423	 20963	  $            (2,516)	  	  
3/22/2012	 0.17	  $        1,464,907	 20927	  $            42,692	  	  
3/23/2012	 0.12	  $        1,507,599	 21537	  $            31,013	  	  
 	  	  $        1,538,612	  	  	  $        89,326	 6%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/26/2012	 0.74	  $        1,538,612	 21980	  $         195,184	  	  
3/27/2012	 0.07	  $        1,733,796	 24769	  $            20,806	  	  
3/28/2012	 -0.35	  $        1,754,602	 25066	  $       (105,276)	  	  
3/29/2012	 -0.07	  $        1,649,326	 23562	  $         (19,792)	  	  
3/30/2012	 0.44	  $        1,629,534	 23279	  $         122,913	  	  
 	  	  $        1,752,447	  	  	  $     213,835	 14%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/2/2012	 0.79	  $        1,752,447	 25035	  $         237,331	  	  
4/3/2012	 -0.08	  $        1,989,779	 28425	  $         (27,288)	  	  
4/4/2012	 0.43	  $        1,962,490	 28036	  $         144,664	  	  
4/5/2012	 -0.35	  $        2,107,154	 30102	  $       (126,429)	  	  
4/6/2012	  	  $        1,980,724	 28296	  $                       -	  	  
 	  	  $        1,980,724	  	  	  $     228,277	 13%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/9/2012	 0.33	  $        1,980,724	 28296	  $         112,052	  	  
4/10/2012	 1.06	  $        2,092,777	 29897	  $         380,287	  	  
4/11/2012	 0.26	  $        2,473,064	 35329	  $         110,228	  	  
4/12/2012	 -0.37	  $        2,583,292	 36904	  $       (163,855)	  	  
4/13/2012	 0.77	  $        2,419,438	 34563	  $         319,366	  	  
 	  	  $        2,738,804	  	  	  $     758,079	 38%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/16/2012	 1.08	  $        2,738,804	 39126	  $         507,070	  	  
4/17/2012	 -0.32	  $        3,245,874	 46370	  $       (178,059)	  	  
4/18/2012	 0.02	  $        3,067,814	 43826	  $            10,518	  	  
4/19/2012	 0.53	  $        3,078,332	 43976	  $         279,688	  	  
4/20/2012	 0.55	  $        3,358,021	 47972	  $         316,613	  	  
 	  	  $        3,674,634	  	  	  $     935,831	 34%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/23/2012	 -0.35	  $        3,674,634	 52495	  $       (220,478)	  	  
4/24/2012	 0.24	  $        3,454,156	 49345	  $         142,114	  	  
4/25/2012	 0.39	  $        3,596,270	 51375	  $         240,436	  	  
4/26/2012	 0.42	  $        3,836,706	 54810	  $         276,243	  	  
4/27/2012	 0.12	  $        4,112,949	 58756	  $            84,609	  	  
 	  	  $        4,197,558	  	  	  $     522,924	 14%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/30/2012	 -0.26	  $        4,197,558	 59965	  $       (187,091)	  	  
5/1/2012	 0.19	  $        4,010,467	 57292	  $         130,627	  	  
5/2/2012	 0.56	  $        4,141,094	 59158	  $         397,545	  	  
5/3/2012	 -0.52	  $        4,538,639	 64838	  $       (404,587)	  	  
5/4/2012	 0.95	  $        4,134,052	 59058	  $         673,260	  	  
 	  	  $        4,807,312	  	  	  $     609,753	 15%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/7/2012	 -0.38	  $        4,807,312	 68676	  $       (313,162)	  	  
5/8/2012	 -0.35	  $        4,494,150	 64202	  $       (269,649)	  	  
5/9/2012	 0.55	  $        4,224,501	 60350	  $         398,310	  	  
5/10/2012	 -0.39	  $        4,622,811	 66040	  $       (309,068)	  	  
5/11/2012	 -0.25	  $        4,313,743	 61625	  $       (184,875)	  	  
 	  	  $        4,128,868	  	  	  $   (678,444)	 -14%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/14/2012	 -0.05	  $        4,128,868	 58984	  $         (35,390)	  	  
5/15/2012	 0.42	  $        4,093,478	 58478	  $         294,730	  	  
5/16/2012	 0.68	  $        4,388,208	 62689	  $         511,540	  	  
5/17/2012	 1.33	  $        4,899,748	 69996	  $      1,117,143	  	  
5/18/2012	 0.98	  $        6,016,890	 85956	  $      1,010,838	  	  
 	  	  $        7,027,728	  	  	  $ 2,898,860	 70%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/21/2012	 -0.52	  $        7,027,728	 100396	  $       (626,472)	  	  
5/22/2012	 0.22	  $        6,401,256	 91447	  $         241,419	  	  
5/23/2012	 -0.35	  $        6,642,675	 94895	  $       (398,561)	  	  
5/24/2012	 0.51	  $        6,244,115	 89202	  $         545,914	  	  
5/25/2012	 0.14	  $        6,790,029	 97000	  $         162,961	  	  
 	  	  $        6,952,989	  	  	  $      (74,739)	 -1%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/28/2012	  	  $        6,952,989	 99328	  $                       -	  	  
5/29/2012	 0.23	  $        6,952,989	 99328	  $         274,146	  	  
5/30/2012	 -0.04	  $        7,227,136	 103245	  $         (49,558)	  	  
5/31/2012	 0.19	  $        7,177,578	 102537	  $         233,784	  	  
6/1/2012	 0.56	  $        7,411,362	 105877	  $         711,491	  	  
