	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
8/30/2010	 0.50	  $              85,721	 1225	  $              7,347	  	  
8/31/2010	 0.02	  $              93,068	 1330	  $                  319	  	  
9/1/2010	 0.02	  $              93,387	 1334	  $                  320	  	  
9/2/2010	 0.19	  $              93,707	 1339	  $              3,052	  	  
9/3/2010	 0.36	  $              96,759	 1382	  $              5,971	  	  
 	  	  $            102,731	  	  	  $        17,010	 20%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
9/6/2010	  	  $            102,731	 1468	  $                       -	  	  
9/7/2010	 -0.07	  $            102,731	 1468	  $            (1,233)	  	  
9/8/2010	 0.03	  $            101,498	 1450	  $                  522	  	  
9/9/2010	 -0.10	  $            102,020	 1457	  $            (1,749)	  	  
9/10/2010	 0.07	  $            100,271	 1432	  $              1,203	  	  
 	  	  $            101,474	  	  	  $        (1,256)	 -1%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
9/13/2010	 0.16	  $            101,474	 1450	  $              2,783	  	  
9/14/2010	 -0.09	  $            104,258	 1489	  $            (1,609)	  	  
9/15/2010	 0.15	  $            102,649	 1466	  $              2,640	  	  
9/16/2010	 0.23	  $            105,289	 1504	  $              4,151	  	  
9/17/2010	 -0.08	  $            109,440	 1563	  $            (1,501)	  	  
 	  	  $            107,939	  	  	  $          6,465	 6%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
9/20/2010	 0.31	  $            107,939	 1542	  $              5,736	  	  
9/21/2010	 -0.01	  $            113,675	 1624	  $               (195)	  	  
9/22/2010	 0.11	  $            113,481	 1621	  $              2,140	  	  
9/23/2010	 -0.16	  $            115,621	 1652	  $            (3,171)	  	  
9/24/2010	 0.04	  $            112,449	 1606	  $                  771	  	  
 	  	  $            113,220	  	  	  $          5,281	 5%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
9/27/2010	 -0.10	  $            113,220	 1617	  $            (1,941)	  	  
9/28/2010	 0.26	  $            111,279	 1590	  $              4,960	  	  
9/29/2010	 0.02	  $            116,239	 1661	  $                  399	  	  
9/30/2010	 -0.11	  $            116,638	 1666	  $            (2,199)	  	  
10/1/2010	 0.03	  $            114,438	 1635	  $                  589	  	  
 	  	  $            115,027	  	  	  $          1,807	 2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/4/2010	 -0.14	  $            115,027	 1643	  $            (2,761)	  	  
10/5/2010	 0.12	  $            112,266	 1604	  $              2,309	  	  
10/6/2010	 -0.20	  $            114,576	 1637	  $            (3,928)	  	  
10/7/2010	 0.06	  $            110,647	 1581	  $              1,138	  	  
10/8/2010	 0.36	  $            111,785	 1597	  $              6,899	  	  
 	  	  $            118,684	  	  	  $          3,657	 3%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/11/2010	 -0.03	  $            118,684	 1695	  $               (610)	  	  
10/12/2010	 0.25	  $            118,074	 1687	  $              5,060	  	  
10/13/2010	 -0.12	  $            123,134	 1759	  $            (2,533)	  	  
10/14/2010	 -0.13	  $            120,601	 1723	  $            (2,688)	  	  
10/15/2010	 0.54	  $            117,913	 1684	  $            10,915	  	  
 	  	  $            128,829	  	  	  $        10,145	 9%
 	 	 	 	 	 	 
 	 0.24	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/18/2010	 0.24	  $            128,829	 1840	  $              5,300	  	  
10/19/2010	 -0.17	  $            134,129	 1916	  $            (3,909)	  	  
10/20/2010	 -0.15	  $            130,220	 1860	  $            (3,349)	  	  
10/21/2010	 -0.24	  $            126,872	 1812	  $            (5,220)	  	  
10/22/2010	 0.09	  $            121,652	 1738	  $              1,877	  	  
 	  	  $            123,529	  	  	  $        (5,300)	 -4%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
10/25/2010	 0.01	  $            123,529	 1765	  $                  212	  	  
10/26/2010	 0.12	  $            123,741	 1768	  $              2,546	  	  
10/27/2010	 0.43	  $            126,286	 1804	  $              9,309	  	  
10/28/2010	 0.18	  $            135,595	 1937	  $              4,184	  	  
10/29/2010	 -0.13	  $            139,779	 1997	  $            (3,115)	  	  
 	  	  $            136,664	  	  	  $        13,135	 11%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/1/2010	 -0.14	  $            136,664	 1952	  $            (3,280)	  	  
11/2/2010	 0.08	  $            133,384	 1905	  $              1,829	  	  
11/3/2010	 -0.12	  $            135,214	 1932	  $            (2,782)	  	  
11/4/2010	 0.03	  $            132,432	 1892	  $                  681	  	  
11/5/2010	 -0.01	  $            133,113	 1902	  $               (228)	  	  
 	  	  $            132,885	  	  	  $        (3,779)	 -3%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/8/2010	 0.03	  $            132,885	 1898	  $                  683	  	  
11/9/2010	 -0.20	  $            133,568	 1908	  $            (4,579)	  	  
11/10/2010	 -0.24	  $            128,989	 1843	  $            (5,307)	  	  
11/11/2010	 0.55	  $            123,682	 1767	  $            11,661	  	  
11/12/2010	 -0.14	  $            135,343	 1933	  $            (3,248)	  	  
 	  	  $            132,095	  	  	  $            (790)	 -1%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/15/2010	 -0.02	  $            132,095	 1887	  $               (453)	  	  
11/16/2010	 -0.10	  $            131,642	 1881	  $            (2,257)	  	  
11/17/2010	 0.12	  $            129,385	 1848	  $              2,662	  	  
11/18/2010	 0.18	  $            132,047	 1886	  $              4,075	  	  
11/19/2010	 -0.05	  $            136,122	 1945	  $            (1,167)	  	  
 	  	  $            134,955	  	  	  $          2,860	 2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/22/2010	 -0.25	  $            134,955	 1928	  $            (5,784)	  	  
11/23/2010	 -0.15	  $            129,171	 1845	  $            (3,322)	  	  
11/24/2010	 0.00	  $            125,850	 1798	  $                       -	  	  
11/25/2010	  	  $            125,850	 1798	  $                       -	  	  
11/26/2010	 -0.18	  $            125,850	 1798	  $            (3,883)	  	  
 	  	  $            121,966	  	  	  $      (12,989)	 -10%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
11/29/2010	 0.45	  $            121,966	 1742	  $              9,409	  	  
11/30/2010	 0.14	  $            131,375	 1877	  $              3,153	  	  
12/1/2010	 -0.10	  $            134,528	 1922	  $            (2,306)	  	  
12/2/2010	 0.04	  $            132,222	 1889	  $                  907	  	  
12/3/2010	 0.13	  $            133,129	 1902	  $              2,967	  	  
 	  	  $            136,095	  	  	  $        14,129	 12%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/6/2010	 0.01	  $            136,095	 1944	  $                  233	  	  
